ID,Submit Year,Start Year,Title,Description,Institution,Investigators,Discipline
488505,2007,2008,Does child-therapist contact enhance the efficacy of parent-implemented treatment for anxious rural children?,Enhancing efficacy of bibliotherapy for rural children with anxiety disorders using child-therapist contact,Macquarie University,Dr Heidi Lyneham,PSYCHOLOGY
488508,2007,2008,Integrated treatment for alcohol problems and social phobia,Randomised controlled trial of treatment for alcohol use problems and social phobia,Macquarie University,Dr Andrew Baillie,PUBLIC HEALTH AND HEALTH SERVICES
488518,2007,2009,Treatments for children with different reading difficulties,A randomised control trial of treatments for children with different types of reading difficulty,Macquarie University,Dr Genevieve M McArthur,PSYCHOLOGY
488522,2007,2008,Guiding Treatment of Anxious Children using a Treatment Planning Interview,Evaluation of a Case Formulation Interview to Guide Treatment of Anxious Children,Macquarie University,Dr Heidi J Lyneham,PSYCHOLOGY
488809,2007,2008,Goblet Cell Stress in Ulcerative Colitis,Goblet cell stress and intestinal inflammation,Mater Medical Research Institute Ltd,A/Pr Michael McGuckin,CLINICAL SCIENCES
488811,2007,2008,Ghrelin peptides in inflammatory bowel disease,Novel applications of ghrelin peptides in mouse models of inflammatory bowel disease,Mater Medical Research Institute Ltd,Dr Penelope Jeffery,CLINICAL SCIENCES
488817,2007,2008,How the bone and bone marrow interact to control blood formation and ways to mobilise stem cells for transplantation,"Interactions between haematopoietic, bone, vascular and endocrine systems control stem cell fate and mobilization",Mater Medical Research Institute Ltd,Dr Ingrid G Winkler,CLINICAL SCIENCES
488821,2007,2008,How bone forming cells can be manipulated to enhance the isolation of blood stem cells for transplantation,Cellular and molecular determinants that regulate osteoblasts at the endosteal niche during HSC mobilisation,Mater Medical Research Institute Ltd,Dr Falak  M Helwani,CLINICAL SCIENCES
489055,2006,2007,IRIISS,IRIISS,Mater Medical Research Institute Ltd,A/Pr Mark  Bowles,NOT ALLOCATED
489410,2007,2008,Regulation of the human hemoglobin genes,Identification of novel mechanisms governing stage-specific regulation of the human globin genes,University of Melbourne,Prof Stephen Jane,OPTOMETRY
489411,2007,2008,Regulation of the human hemoglobin genes,Analysis of factors governing globin gene expression,University of Melbourne,Prof Stephen Jane,CLINICAL SCIENCES
489418,2007,2008,Analysis of changes to DNA in colorectal cancers which do and do not generate secondary tumours,Analysis of gene amplification/loss and methylation associated with progression to metastatic colorectal cancer,Ludwig Institute for Cancer Research,Dr Lara Lipton,CLINICAL SCIENCES
490000,2007,2008,Assessing how well relative risk models reflect reality.,Goodness-of-fit testing of log-link models for categorical outcome data,Menzies Research Institute,Dr Christopher Blizzard,STATISTICS
490014,2007,2008,Switching genes on in immune cells,How does basal chromatic structure predict cytokine gene responses?,Menzies Research Institute,Dr Adele Holloway,BIOCHEMISTRY AND CELL BIOLOGY
490023,2007,2008,Mechanisms of airway remodelling,Scarring and angiogenesis in the airway wall in smoking and COPD: links between inflammation and remodelling,Menzies Research Institute,Prof Eugene Haydn Walters,CLINICAL SCIENCES
490025,2007,2008,"Interactions between injured neurons, astrocytes and metallothionein","Interactions between injured neurons, astrocytes and metallothionein",Menzies Research Institute,A/Pr Adrian West,NEUROSCIENCES
490028,2007,2008,Self-management in COPD,A Comprehensive Self-Management Programme  for Chronic Obstructive Pulmonary Disease in the Community,Menzies Research Institute,Dr Richard Wood-Baker,CLINICAL SCIENCES
490031,2007,2008,Potential of new drugs for the treatment of Alzheimer's disease,Regulation of the beta-secretase (BACE1) by glycosaminoglycans,Menzies Research Institute,A/Pr David Small,BIOCHEMISTRY AND CELL BIOLOGY
490034,2007,2008,Uncoupled Research Fellowship,Uncoupled Research Fellowship,Menzies Research Institute,A/Pr Stephen  Rattigan,CLINICAL SCIENCES
490037,2007,2008,The Study of Human Diseases that have an Inherited Component,Genetic and Bioinformatic Analysis of Complex Human Diseases,Menzies Research Institute,Prof Simon J Foote,GENETICS
490047,2007,2008,The brain's response to injury and disease,Cellular Mechanisms Underlyin Neurodegenerative disease and the neuronal response to trauma,Menzies Research Institute,Dr Tracey C Dickson,NEUROSCIENCES
490049,2007,2008,Using magnetic resonance imaging (MRI) to study knee osteoathritis,Longitudinal studies of knee osteoathritic changes usin magnetic resonance imaging (MRI),Menzies Research Institute,Dr Changhai Ding,CLINICAL SCIENCES
490051,2007,2008,Enhancin the practical usefulness of relative risk estimation methods,Goodness-of-fit testing and extensions of relative risk models,Menzies Research Institute,A/Prof Christopher Blizzard,STATISTICS
490056,2007,2008,"How does the wound-healing protein, SPARC, help the brain to repair itself after injury?",The role of SPARC in regeneration and neurogenesis in the central nervous system.,Menzies Research Institute,Dr Adele J Vincent,NEUROSCIENCES
490057,2007,2008,The health effects of outdoor smoke from bushfires and wood heaters,Understanding the health effects of biomass smoke in Australian towns and cities,Menzies Research Institute,Dr Fay H Johnston,PUBLIC HEALTH AND HEALTH SERVICES
490302,2007,2008,Improving health promotion practice for chronic disease in Indigenous communities,A structured systems approach for improving health promotion practice for chronic diseases in Indigenous communities,Menzies School of Health Research,Prof Ross Bailie,PUBLIC HEALTH AND HEALTH SERVICES
490305,2007,2008,Factor replacement for snakebite coagulopathy,A Randomised Controlled Trial of Factor Replacement Therapy in Snake Bite Coagulopathy,Menzies School of Health Research,Dr Geoffrey Isbister,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES
490307,2007,2008,Practitioner Fellowship,Practitioner Fellowship,Menzies School of Health Research,Prof Nicholas M Anstey,CLINICAL SCIENCES
490314,2007,2008,Antenatal screening for fetal anomalies in Indigenous women: views of Indigenous people and their health care providers,Antenatal screening for fetal anomalies in Indigenous women: views of Indigenous people and their health care providers,Menzies School of Health Research,Dr Alice Rumbold,CLINICAL SCIENCES
490321,2007,2008,Can chronic cough in children be better managed using a clinical pathway?,Multicentre evaluation of a clinical pathway for chronic cough in children- can its use improve clinical outcomes,Menzies School of Health Research,Prof Anne Chang,PUBLIC HEALTH AND HEALTH SERVICES
490335,2007,2008,"The Better Environmental Health, Housing and Child Health Study (BEHHCH)","The Better Environmental Health, Housing and Child Health Study (BEHHCH)",Menzies School of Health Research,Dr Elizabeth L Mcdonald,PUBLIC HEALTH AND HEALTH SERVICES
490337,2007,2008,Improving Health Promotion through Continuous Quality Improvement,Improving Health Promotion through Continuous Quality Improvement,Menzies School of Health Research,Mrs Nikki A Clelland,PUBLIC HEALTH AND HEALTH SERVICES
490338,2007,2008,Pneumonia and its prevention in Indigenous children,The aetiology and prevention of pneumonia of Indigenous children in Northern Australia,Menzies School of Health Research,Ms Kerry-Ann F O'Grady,PUBLIC HEALTH AND HEALTH SERVICES
490339,2007,2008,Nasopharyngeal metagenomics in Indigenous children with otitis media.,Nasopharyngeal metagenomics in Indigenous children: correlations with otitis media aetiology and treatment failure.,Menzies School of Health Research,Ms Robyn L Marsh,MEDICAL MICROBIOLOGY
490340,2007,2008,Optimising prevention and public health policy for common vaccine-preventable diseases in Aboriginal Australians,"Optimising prevention and vaccination policy for pneumococcal disease, influenza and RSV in Indigenous Australians",Menzies School of Health Research,Dr Susan A Skull,PUBLIC HEALTH AND HEALTH SERVICES
490344,2007,2009,Talking Palliative Care,"Case conferencing, quality of life and palliative care for clients from remote communities in the Northern Territory",Menzies School of Health Research,Ms Rachel  MCMAHON,PUBLIC HEALTH AND HEALTH SERVICES
490345,2007,2008,Molecular mechanisms of ivermectin resistance in scabies,"Molecular mechanisms of ivermectin resistance in the ectoparasitic mite, Sarcoptes scabiei",Queensland Institute of Medical Research,Miss Kate E Mounsey,CLINICAL SCIENCES
490348,2007,2008,"The relationship of body shape, kidney disease & inflammation in Indigenous persons with diabetes ","The relationship of body composition,  renal impairment & inflammatory cytokines in Indigenous persons with diabetes ",Menzies School of Health Research,Dr Jaquelyne  T Hughes,PUBLIC HEALTH AND HEALTH SERVICES
490900,2007,2008,Protease systems biology,"Control of proteases in infectious, degenerative and cardiovascular disease",Monash University,Dr James C Whisstock,BIOCHEMISTRY AND CELL BIOLOGY
490901,2007,2008,Role of biofilms in E. coli infections,Examination of the role of biofilms in infection with enteropathogenic Escherichia coli,University of Technology Sydney,Dr Cynthia Whitchurch,MEDICAL MICROBIOLOGY
490908,2007,2008,Understanding inhibition of allergic pulmonary inflammation by specific types of particles,Inhibition of allergic airway inflammation by nanoparticles,Monash University,Prof Magdalena Plebanski,IMMUNOLOGY
490909,2007,2008,Health of the old-old person,"Health, wellbeing, disability and service pathways in older (80+) Australians",Monash University,Prof Colette Browning,CLINICAL SCIENCES
490916,2007,2008,The regulation of meiosis in mice and men,The identification of male meiosis genes using a new mouse line and human genome scans for gene copy number variations,Monash University,Dr Moira O'Bryan,CLINICAL SCIENCES
490917,2007,2008,GGN in male fertility and embryogenesis,The function of gametogenenin in male fertility and embryogenesis,Monash University,Dr Moira O'Bryan,CLINICAL SCIENCES
490918,2007,2008,Uncoupled Research Fellowship,Uncoupled Research Fellowship,Monash University,Dr Katherine M Denton,MEDICAL PHYSIOLOGY
490919,2007,2008,Estrogen - the good and the bad,Interaction between estrogen and the renin-angiotensin system  in the regulation of arterial pressure,Monash University,Dr Kate Denton,MEDICAL PHYSIOLOGY
490920,2007,2008,"Mother, hypertension and child",Altered renal development programs adult hypertension,Monash University,Dr Kate Denton,MEDICAL PHYSIOLOGY
490938,2007,2008,Uncoupled Research Fellowship,Uncoupled Research Fellowship,Monash University,Prof Susan R Davis,CLINICAL SCIENCES
490957,2007,2008,The role of interleukin-6 family cytokines in emphysema,Genetic approaches to understand how imbalanced cytokine signalling drives the pathogenesis of emphysema,Monash University,Dr Brendan Jenkins,BIOCHEMISTRY AND CELL BIOLOGY
490966,2007,2008,Hyperbaric Oxygen in Lower Limb Trauma,Hyperbaric Oxygen in Lower Limb Trauma: a randomised controlled clinical trial,Monash University,Dr Ian Millar,CLINICAL SCIENCES
490968,2007,2008,Predictors of risk in CHD patients,The LIPID Study: 16 year outcomes and predictors of risk and their interactions in CHD patients,Monash University,Prof Andrew Tonkin,CLINICAL SCIENCES
490970,2007,2008,The early origins of diseases in pregnancy; developing new predictive tests and biological insights,The early origins of obsteric diseases: biological investigations and biomarker discovery,Monash University,Dr Stephen  Tong,CLINICAL SCIENCES
490975,2007,2008,"Cardiovascular risk factors, diabetes, insulin resistance and Polycystic Ovary Syndrome","The assessment and treatment of cardiovascular risk factors,diabetes and insulin resistance in Polycystic Ovary Syndrome",Monash University,Dr Lisa J Moran,CLINICAL SCIENCES
490976,2007,2009,"A novel therapeutic intervention for chronic pain, mania and depression.","Investigating caloric vestibular stimulation as a novel therapeutic intervention for chronic pain, mania and depression.",Monash University,Mr Trung T. Ngo,CLINICAL SCIENCES
490977,2007,2008,Uncoupled Research Fellowship,Uncoupled Research Fellowship,Monash University,Prof Magdalena  Plebanski,IMMUNOLOGY
490980,2007,2008,The Role of the Prefrontal Cortex in Working Memory,The Role of the Prefrontal Cortex in Working Memory for Visual Motion,Monash University,Mr Leo L Lui,PSYCHOLOGY
490986,2007,2008,Direct visualization of receptor signalling cascades.,Allosteric modulation of GPCR-mediated intracellular signalling in human embryonic stem cell derived cardiomyocytes.,Monash University,Ms Lauren T May,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES
490988,2007,2008,Understanding generalised immune activation and dysfunction in HIV infection,Dissecting mechanisms of generalised immune activation and cellular dysfunction in HIV infection,Monash University,Ms Miranda Z. Smith,IMMUNOLOGY
490989,2007,2008,Predicting Protease Specificity,Predicting the substrate specificity of proteases,Monash University,Dr Jiangning  Song,BIOCHEMISTRY AND CELL BIOLOGY
490992,2007,2009,2-Wheeler Behaviour and Safety (2-BE-SAFE),2-Wheeler Behaviour and Safety (2-BE-SAFE),Monash University,Dr Michael Lenné,PUBLIC HEALTH AND HEALTH SERVICES
490993,2007,2008,Identification of novel pathways mediating immunity and inflammation in the gut,Inflammasome function in gastrointestinal immunity and inflammation,Monash University,Dr Kate  Schroder,IMMUNOLOGY
490995,2007,2008,Stem/progenitor cells in endometrial re-growth,The role of stem/progenitor cells in regeneration of mouse endometrium.,Monash University,Ms Tu'Uhevaha J Kaitu'U-Lino,CLINICAL SCIENCES
490998,2007,2008,Type 2 Diabetes and chronic kidney disease: the effect of glucose control on cardiovascular disease outcomes,"Glycaemia and cardiovascular disease outcomes in patients with diabetes and CKD: methodology, relationship &",Monash University,A/Prof Sophia  Zoungas,CLINICAL SCIENCES
491001,2007,2008,Impact of sleep disordered breathing in preschool children,"Impact of sleep disordered breathing on cardiovascular, behavioural and neurocognitive function in preschool children",Monash University,A/Pr Rosemary Horne,CLINICAL SCIENCES
491004,2007,2008,Role of Aire in tolerance and autoimmunity,The role of Aire in immunological tolerance and autoimmunity,Monash University,A/Pr Frank Alderuccio,IMMUNOLOGY
491007,2007,2008,Uncoupled Research Fellowship,Uncoupled Research Fellowship,Monash University,Dr Michael J Hickey,IMMUNOLOGY
491010,2007,2008,Understanding the mechanism of leptospiral invasion of its host,A functional and structural approach to understanding Leptospiral host-pathogen interactions,Monash University,Dr Travis Beddoe,CLINICAL SCIENCES
